eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
86,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
87,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
88,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
89,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
90,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
91,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
92,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
93,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
94,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
95,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
96,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
97,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
98,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
99,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
100,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
101,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
102,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
103,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
104,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
105,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
106,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
107,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
108,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
109,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
110,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
111,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
112,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
113,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
114,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
115,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
116,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
117,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
118,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
119,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
120,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
121,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
122,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
123,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
124,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
125,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
126,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
127,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
128,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
129,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
130,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
131,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
132,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
133,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
134,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
135,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
136,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
137,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
138,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
139,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
140,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
141,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
142,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
143,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
144,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
145,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
146,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
147,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
148,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
149,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
150,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
151,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
152,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
153,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
154,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
155,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
156,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
157,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
158,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
159,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
160,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
161,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
162,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
163,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
164,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
165,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
166,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
167,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
168,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
169,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
170,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
171,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
172,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
173,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
174,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
175,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
176,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
177,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
178,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
179,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
180,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
181,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
182,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
183,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
184,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
185,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
186,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
187,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
188,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
189,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
190,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
191,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
192,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
193,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
194,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
195,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
196,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
197,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
198,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
199,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
200,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
201,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
202,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
203,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
204,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
205,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
206,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
207,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
208,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
209,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
210,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
211,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
212,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
213,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
214,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
215,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
216,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
217,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
218,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
219,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
220,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
221,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
222,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
223,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
224,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
225,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
226,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
227,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
228,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
229,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
230,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
231,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
232,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
233,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
234,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
235,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
236,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
237,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
238,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
239,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
240,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
241,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
242,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
243,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
244,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
245,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
246,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
247,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
248,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
249,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
250,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
251,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
252,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
253,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
254,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
255,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
256,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
257,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
258,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
259,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
260,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
261,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
262,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
263,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
264,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
265,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
266,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
267,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
268,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
269,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
270,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
271,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
272,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
273,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
274,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
275,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
276,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
277,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
278,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
279,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
280,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
281,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
282,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
283,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
284,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
285,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
286,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
287,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
288,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
289,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
290,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
291,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
292,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
293,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
294,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
295,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
296,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
297,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
298,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
299,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
300,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
301,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
302,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
303,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
304,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
305,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
306,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
307,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
308,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
309,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
310,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
311,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
312,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
313,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
314,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
315,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
316,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
317,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
318,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
319,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
320,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
321,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
322,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
323,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
324,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
325,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
326,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
327,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
328,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
329,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
330,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
331,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
332,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
333,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
334,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
335,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
336,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
337,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
338,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
339,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
340,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
341,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
342,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
343,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
344,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
345,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
346,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
347,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
348,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
349,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
350,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
351,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
352,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
353,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
354,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
355,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
356,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
357,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
358,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
359,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
360,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
361,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
362,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
363,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
364,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
365,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
366,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
367,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
368,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
369,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
370,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
371,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
372,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
373,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
374,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
375,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
376,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
377,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
378,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
379,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
